	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
5701	P62979	RPS27A~P62979	membrane	GO:0016020	UniProt
5702	P62979	RPS27A~P62979	mitochondrial outer membrane	GO:0005741	UniProt
5703	P62979	RPS27A~P62979	nucleolus	GO:0005730	UniProt
5704	P62979	RPS27A~P62979	nucleoplasm	GO:0005654	UniProt
5705	P62979	RPS27A~P62979	nucleus	GO:0005634	UniProt
5706	P62979	RPS27A~P62979	plasma membrane	GO:0005886	UniProt
5707	P62979	RPS27A~P62979	small-subunit processome	GO:0032040	UniProt
5708	P62979	RPS27A~P62979	synapse	GO:0045202	UniProt
5709	P62979	RPS27A~P62979	vesicle	GO:0031982	UniProt
5710	P63010	AP2B1~P63010	AP-2 adaptor complex	GO:0030122	UniProt
5711	P63010	AP2B1~P63010	clathrin adaptor complex	GO:0030131	UniProt
5712	P63010	AP2B1~P63010	clathrin-coated endocytic vesicle	GO:0045334	UniProt
5713	P63010	AP2B1~P63010	clathrin-coated endocytic vesicle membrane	GO:0030669	UniProt
5714	P63010	AP2B1~P63010	cytoplasmic side of plasma membrane	GO:0009898	UniProt
5715	P63010	AP2B1~P63010	cytosol	GO:0005829	UniProt
5716	P63010	AP2B1~P63010	endocytic vesicle membrane	GO:0030666	UniProt
5717	P63010	AP2B1~P63010	endolysosome membrane	GO:0036020	UniProt
5718	P63010	AP2B1~P63010	glutamatergic synapse	GO:0098978	UniProt
5719	P63010	AP2B1~P63010	membrane	GO:0016020	UniProt
5720	P63010	AP2B1~P63010	plasma membrane	GO:0005886	UniProt
5721	P63010	AP2B1~P63010	postsynapse	GO:0098794	UniProt
5722	P63010	AP2B1~P63010	presynapse	GO:0098793	UniProt
5723	P63104	YWHAZ~P63104	blood microparticle	GO:0072562	UniProt
5724	P63104	YWHAZ~P63104	cytoplasm	GO:0005737	UniProt
5725	P63104	YWHAZ~P63104	cytosol	GO:0005829	UniProt
5726	P63104	YWHAZ~P63104	extracellular exosome	GO:0070062	UniProt
5727	P63104	YWHAZ~P63104	extracellular space	GO:0005615	UniProt
5728	P63104	YWHAZ~P63104	focal adhesion	GO:0005925	UniProt
5729	P63104	YWHAZ~P63104	glutamatergic synapse	GO:0098978	UniProt
5730	P63104	YWHAZ~P63104	hippocampal mossy fiber to CA3 synapse	GO:0098686	UniProt
5731	P63104	YWHAZ~P63104	melanosome	GO:0042470	UniProt
5732	P63104	YWHAZ~P63104	nucleoplasm	GO:0005654	UniProt
5733	P63104	YWHAZ~P63104	nucleus	GO:0005634	UniProt
5734	P63104	YWHAZ~P63104	vesicle	GO:0031982	UniProt
5735	P63151	PPP2R2A~P63151	cytosol	GO:0005829	UniProt
5736	P63151	PPP2R2A~P63151	glutamatergic synapse	GO:0098978	UniProt
5737	P63151	PPP2R2A~P63151	nucleoplasm	GO:0005654	UniProt
5738	P63151	PPP2R2A~P63151	protein phosphatase type 2A complex	GO:0000159	UniProt
5739	P63167	DYNLL1~P63167	axon cytoplasm	GO:1904115	UniProt
5740	P63167	DYNLL1~P63167	centrosome	GO:0005813	UniProt
5741	P63167	DYNLL1~P63167	ciliary tip	GO:0097542	UniProt
5742	P63167	DYNLL1~P63167	cilium	GO:0005929	UniProt
5743	P63167	DYNLL1~P63167	cytoplasm	GO:0005737	UniProt
5744	P63167	DYNLL1~P63167	cytoplasmic dynein complex	GO:0005868	UniProt
5745	P63167	DYNLL1~P63167	cytoskeleton	GO:0005856	UniProt
5746	P63167	DYNLL1~P63167	cytosol	GO:0005829	UniProt
5747	P63167	DYNLL1~P63167	dynein complex	GO:0030286	UniProt
5748	P63167	DYNLL1~P63167	ficolin-1-rich granule membrane	GO:0101003	UniProt
5749	P63167	DYNLL1~P63167	kinetochore	GO:0000776	UniProt
5750	P63167	DYNLL1~P63167	membrane	GO:0016020	UniProt
5751	P63167	DYNLL1~P63167	microtubule	GO:0005874	UniProt
5752	P63167	DYNLL1~P63167	mitochondrion	GO:0005739	UniProt
5753	P63167	DYNLL1~P63167	mitotic spindle	GO:0072686	UniProt
5754	P63167	DYNLL1~P63167	nucleus	GO:0005634	UniProt
5755	P63167	DYNLL1~P63167	plasma membrane	GO:0005886	UniProt
5756	P63167	DYNLL1~P63167	site of double-strand break	GO:0035861	UniProt
5757	P63167	DYNLL1~P63167	tertiary granule membrane	GO:0070821	UniProt
5758	P63173	RPL38~P63173	cytoplasm	GO:0005737	UniProt
5759	P63173	RPL38~P63173	cytosol	GO:0005829	UniProt
5760	P63173	RPL38~P63173	cytosolic large ribosomal subunit	GO:0022625	UniProt
5761	P63173	RPL38~P63173	cytosolic ribosome	GO:0022626	UniProt
5762	P63173	RPL38~P63173	eukaryotic 80S initiation complex	GO:0033291	UniProt
5763	P63173	RPL38~P63173	focal adhesion	GO:0005925	UniProt
5764	P63173	RPL38~P63173	postsynaptic density	GO:0014069	UniProt
5765	Q8WVC2	RPS21~Q8WVC2	cytosolic small ribosomal subunit	GO:0022627	UniProt
5766	Q8WVC2	RPS21~Q8WVC2	rough endoplasmic reticulum	GO:0005791	UniProt
5767	P63244	RACK1~P63244	cytoplasm	GO:0005737	UniProt
5768	P63244	RACK1~P63244	cytosol	GO:0005829	UniProt
5769	P63244	RACK1~P63244	cytosolic small ribosomal subunit	GO:0022627	UniProt
5770	P63244	RACK1~P63244	dendrite	GO:0030425	UniProt
5771	P63244	RACK1~P63244	extracellular exosome	GO:0070062	UniProt
5772	P63244	RACK1~P63244	IRE1-RACK1-PP2A complex	GO:1990630	UniProt
5773	P63244	RACK1~P63244	midbody	GO:0030496	UniProt
5774	P63244	RACK1~P63244	mitochondrion	GO:0005739	UniProt
5775	P63244	RACK1~P63244	neuronal cell body	GO:0043025	UniProt
5776	P63244	RACK1~P63244	nucleoplasm	GO:0005654	UniProt
5777	P63244	RACK1~P63244	nucleus	GO:0005634	UniProt
5778	P63244	RACK1~P63244	perikaryon	GO:0043204	UniProt
5779	P63244	RACK1~P63244	perinuclear region of cytoplasm	GO:0048471	UniProt
5780	P63244	RACK1~P63244	phagocytic cup	GO:0001891	UniProt
5781	P63244	RACK1~P63244	small ribosomal subunit	GO:0015935	UniProt
5782	P63261	ACTG1~P63261	actin filament	GO:0005884	UniProt
5783	P63261	ACTG1~P63261	apical junction complex	GO:0043296	UniProt
5784	P63261	ACTG1~P63261	axon	GO:0030424	UniProt
5785	P63261	ACTG1~P63261	basal body patch	GO:0120220	UniProt
5786	P63261	ACTG1~P63261	blood microparticle	GO:0072562	UniProt
5787	P63261	ACTG1~P63261	calyx of Held	GO:0044305	UniProt
5788	P63261	ACTG1~P63261	cell-cell junction	GO:0005911	UniProt
5789	P63261	ACTG1~P63261	cytoplasm	GO:0005737	UniProt
5790	P63261	ACTG1~P63261	cytoskeleton	GO:0005856	UniProt
5791	P63261	ACTG1~P63261	cytosol	GO:0005829	UniProt
5792	P63261	ACTG1~P63261	dense body	GO:0097433	UniProt
5793	P63261	ACTG1~P63261	extracellular exosome	GO:0070062	UniProt
5794	P63261	ACTG1~P63261	extracellular space	GO:0005615	UniProt
5795	P63261	ACTG1~P63261	filamentous actin	GO:0031941	UniProt
5796	P63261	ACTG1~P63261	focal adhesion	GO:0005925	UniProt
5797	P63261	ACTG1~P63261	membrane	GO:0016020	UniProt
5798	P63261	ACTG1~P63261	myofibril	GO:0030016	UniProt
5799	P63261	ACTG1~P63261	NuA4 histone acetyltransferase complex	GO:0035267	UniProt
5800	P63261	ACTG1~P63261	nucleus	GO:0005634	UniProt
5801	P63261	ACTG1~P63261	phagocytic vesicle	GO:0045335	UniProt
5802	P63261	ACTG1~P63261	plasma membrane	GO:0005886	UniProt
5803	P63261	ACTG1~P63261	Schaffer collateral - CA1 synapse	GO:0098685	UniProt
5804	P63261	ACTG1~P63261	synapse	GO:0045202	UniProt
5805	P67809	YBX1~P67809	CRD-mediated mRNA stability complex	GO:0070937	UniProt
5806	P67809	YBX1~P67809	cytoplasm	GO:0005737	UniProt
5807	P67809	YBX1~P67809	cytoplasmic stress granule	GO:0010494	UniProt
5808	P67809	YBX1~P67809	cytosol	GO:0005829	UniProt
5809	P67809	YBX1~P67809	endoplasmic reticulum	GO:0005783	UniProt
5810	P67809	YBX1~P67809	extracellular exosome	GO:0070062	UniProt
5811	P67809	YBX1~P67809	extracellular region	GO:0005576	UniProt
5812	P67809	YBX1~P67809	histone pre-mRNA 3'end processing complex	GO:0071204	UniProt
5813	P67809	YBX1~P67809	intracellular membrane-bounded organelle	GO:0043231	UniProt
5814	P67809	YBX1~P67809	messenger ribonucleoprotein complex	GO:1990124	UniProt
5815	P67809	YBX1~P67809	nucleoplasm	GO:0005654	UniProt
5816	P67809	YBX1~P67809	nucleus	GO:0005634	UniProt
5817	P67809	YBX1~P67809	P-body	GO:0000932	UniProt
5818	P67809	YBX1~P67809	plasma membrane	GO:0005886	UniProt
5819	P67809	YBX1~P67809	ribonucleoprotein complex	GO:1990904	UniProt
5820	P67809	YBX1~P67809	synapse	GO:0045202	UniProt
5821	P67809	YBX1~P67809	U12-type spliceosomal complex	GO:0005689	UniProt
5822	P68032	ACTC1~P68032	actin filament	GO:0005884	UniProt
5823	P68032	ACTC1~P68032	blood microparticle	GO:0072562	UniProt
5824	P68032	ACTC1~P68032	cell body	GO:0044297	UniProt
5825	P68032	ACTC1~P68032	cytoplasm	GO:0005737	UniProt
5826	P68032	ACTC1~P68032	cytosol	GO:0005829	UniProt
5827	P68032	ACTC1~P68032	extracellular exosome	GO:0070062	UniProt
5828	P68032	ACTC1~P68032	extracellular space	GO:0005615	UniProt
5829	P68032	ACTC1~P68032	filopodium	GO:0030175	UniProt
5830	P68032	ACTC1~P68032	focal adhesion	GO:0005925	UniProt
5831	P68032	ACTC1~P68032	glutamatergic synapse	GO:0098978	UniProt
5832	P68032	ACTC1~P68032	I band	GO:0031674	UniProt
5833	P68032	ACTC1~P68032	lamellipodium	GO:0030027	UniProt
5834	P68032	ACTC1~P68032	membrane	GO:0016020	UniProt
5835	P68032	ACTC1~P68032	sarcomere	GO:0030017	UniProt
5836	P68104	EEF1A1~P68104	cortical actin cytoskeleton	GO:0030864	UniProt
5837	P68104	EEF1A1~P68104	cytoplasm	GO:0005737	UniProt
5838	P68104	EEF1A1~P68104	cytoplasmic side of lysosomal membrane	GO:0098574	UniProt
5839	P68104	EEF1A1~P68104	cytosol	GO:0005829	UniProt
5840	P68104	EEF1A1~P68104	cytosolic ribosome	GO:0022626	UniProt
5841	P68104	EEF1A1~P68104	eukaryotic translation elongation factor 1 complex	GO:0005853	UniProt
5842	P68104	EEF1A1~P68104	extracellular exosome	GO:0070062	UniProt
5843	P68104	EEF1A1~P68104	extracellular region	GO:0005576	UniProt
5844	P68104	EEF1A1~P68104	extracellular space	GO:0005615	UniProt
5845	P68104	EEF1A1~P68104	ficolin-1-rich granule lumen	GO:1904813	UniProt
5846	P68104	EEF1A1~P68104	membrane	GO:0016020	UniProt
5847	P68104	EEF1A1~P68104	nucleolus	GO:0005730	UniProt
5848	P68104	EEF1A1~P68104	nucleus	GO:0005634	UniProt
5849	P68104	EEF1A1~P68104	plasma membrane	GO:0005886	UniProt
5850	P68104	EEF1A1~P68104	ribosome	GO:0005840	UniProt
5851	P68104	EEF1A1~P68104	ruffle membrane	GO:0032587	UniProt
5852	P68104	EEF1A1~P68104	secretory granule lumen	GO:0034774	UniProt
5853	P68363	TUBA1B~P68363	cytoplasm	GO:0005737	UniProt
5854	P68363	TUBA1B~P68363	cytoplasmic microtubule	GO:0005881	UniProt
5855	P68363	TUBA1B~P68363	microtubule	GO:0005874	UniProt
5856	P68363	TUBA1B~P68363	microtubule cytoskeleton	GO:0015630	UniProt
5857	P68371	TUBB4B~P68371	axonemal microtubule	GO:0005879	UniProt
5858	P68371	TUBB4B~P68371	azurophil granule lumen	GO:0035578	UniProt
5859	P68371	TUBB4B~P68371	cytoplasm	GO:0005737	UniProt
5860	P68371	TUBB4B~P68371	cytoskeleton	GO:0005856	UniProt
5861	P68371	TUBB4B~P68371	cytosol	GO:0005829	UniProt
5862	P68371	TUBB4B~P68371	extracellular exosome	GO:0070062	UniProt
5863	P68371	TUBB4B~P68371	extracellular region	GO:0005576	UniProt
5864	P68371	TUBB4B~P68371	extracellular vesicle	GO:1903561	UniProt
5865	P68371	TUBB4B~P68371	intercellular bridge	GO:0045171	UniProt
5866	P68371	TUBB4B~P68371	microtubule	GO:0005874	UniProt
5867	P68371	TUBB4B~P68371	microtubule cytoskeleton	GO:0015630	UniProt
5868	P68371	TUBB4B~P68371	mitotic spindle	GO:0072686	UniProt
5869	P68371	TUBB4B~P68371	nucleus	GO:0005634	UniProt
5870	P68402	PAFAH1B2~P68402	1-alkyl-2-acetylglycerophosphocholine esterase complex	GO:0008247	UniProt
5871	P68402	PAFAH1B2~P68402	cytoplasm	GO:0005737	UniProt
5872	P68402	PAFAH1B2~P68402	cytosol	GO:0005829	UniProt
5873	P68402	PAFAH1B2~P68402	extracellular exosome	GO:0070062	UniProt
5874	P68402	PAFAH1B2~P68402	extracellular region	GO:0005576	UniProt
5875	P68402	PAFAH1B2~P68402	fibrillar center	GO:0001650	UniProt
5876	P68402	PAFAH1B2~P68402	ficolin-1-rich granule lumen	GO:1904813	UniProt
5877	P68402	PAFAH1B2~P68402	nucleolus	GO:0005730	UniProt
5878	P68402	PAFAH1B2~P68402	plasma membrane	GO:0005886	UniProt
5879	P68402	PAFAH1B2~P68402	secretory granule lumen	GO:0034774	UniProt
5880	P68431	H3C8~P68431	extracellular exosome	GO:0070062	UniProt
5881	P68431	H3C8~P68431	extracellular region	GO:0005576	UniProt
5882	P68431	H3C8~P68431	membrane	GO:0016020	UniProt
5883	P68431	H3C8~P68431	nucleoplasm	GO:0005654	UniProt
5884	P68431	H3C8~P68431	nucleosome	GO:0000786	UniProt
5885	P68431	H3C8~P68431	nucleus	GO:0005634	UniProt
5886	P68431	H3C8~P68431	protein-containing complex	GO:0032991	UniProt
5887	P68871	HBB~P68871	blood microparticle	GO:0072562	UniProt
5888	P68871	HBB~P68871	cytosol	GO:0005829	UniProt
5889	P68871	HBB~P68871	endocytic vesicle lumen	GO:0071682	UniProt
5890	P68871	HBB~P68871	extracellular exosome	GO:0070062	UniProt
5891	P68871	HBB~P68871	extracellular region	GO:0005576	UniProt
5892	P68871	HBB~P68871	extracellular space	GO:0005615	UniProt
5893	P68871	HBB~P68871	ficolin-1-rich granule lumen	GO:1904813	UniProt
5894	P68871	HBB~P68871	haptoglobin-hemoglobin complex	GO:0031838	UniProt
5895	P68871	HBB~P68871	hemoglobin complex	GO:0005833	UniProt
5896	P68871	HBB~P68871	tertiary granule lumen	GO:1904724	UniProt
5897	P69892	HBG2~P69892	blood microparticle	GO:0072562	UniProt
5898	P69892	HBG2~P69892	cytosol	GO:0005829	UniProt
5899	P69892	HBG2~P69892	haptoglobin-hemoglobin complex	GO:0031838	UniProt
5900	P69892	HBG2~P69892	hemoglobin complex	GO:0005833	UniProt
5901	P69905	HBA2~P69905	blood microparticle	GO:0072562	UniProt
5902	P69905	HBA2~P69905	cytosol	GO:0005829	UniProt
5903	P69905	HBA2~P69905	endocytic vesicle lumen	GO:0071682	UniProt
5904	P69905	HBA2~P69905	extracellular exosome	GO:0070062	UniProt
5905	P69905	HBA2~P69905	extracellular region	GO:0005576	UniProt
5906	P69905	HBA2~P69905	extracellular space	GO:0005615	UniProt
5907	P69905	HBA2~P69905	haptoglobin-hemoglobin complex	GO:0031838	UniProt
5908	P69905	HBA2~P69905	hemoglobin complex	GO:0005833	UniProt
5909	P69905	HBA2~P69905	membrane	GO:0016020	UniProt
5910	P78371	CCT2~P78371	azurophil granule lumen	GO:0035578	UniProt
5911	P78371	CCT2~P78371	cell body	GO:0044297	UniProt
5912	P78371	CCT2~P78371	chaperonin-containing T-complex	GO:0005832	UniProt
5913	P78371	CCT2~P78371	cytosol	GO:0005829	UniProt
5914	P78371	CCT2~P78371	extracellular exosome	GO:0070062	UniProt
5915	P78371	CCT2~P78371	extracellular region	GO:0005576	UniProt
5916	P78371	CCT2~P78371	microtubule	GO:0005874	UniProt
5917	P78371	CCT2~P78371	zona pellucida receptor complex	GO:0002199	UniProt
5918	P78417	GSTO1~P78417	cytoplasm	GO:0005737	UniProt
5919	P78417	GSTO1~P78417	cytosol	GO:0005829	UniProt
5920	P78417	GSTO1~P78417	extracellular exosome	GO:0070062	UniProt
5921	P78527	PRKDC~P78527	chromatin	GO:0000785	UniProt
5922	P78527	PRKDC~P78527	chromosome, telomeric region	GO:0000781	UniProt
5923	P78527	PRKDC~P78527	cytosol	GO:0005829	UniProt
5924	P78527	PRKDC~P78527	DNA-dependent protein kinase complex	GO:0070418	UniProt
5925	P78527	PRKDC~P78527	DNA-dependent protein kinase-DNA ligase 4 complex	GO:0005958	UniProt
5926	P78527	PRKDC~P78527	membrane	GO:0016020	UniProt
5927	P78527	PRKDC~P78527	nonhomologous end joining complex	GO:0070419	UniProt
5928	P78527	PRKDC~P78527	nucleolus	GO:0005730	UniProt
5929	P78527	PRKDC~P78527	nucleoplasm	GO:0005654	UniProt
5930	P78527	PRKDC~P78527	nucleus	GO:0005634	UniProt
5931	P78527	PRKDC~P78527	protein-containing complex	GO:0032991	UniProt
5932	P78527	PRKDC~P78527	protein-DNA complex	GO:0032993	UniProt
5933	P78527	PRKDC~P78527	small-subunit processome	GO:0032040	UniProt
5934	P78527	PRKDC~P78527	transcription regulator complex	GO:0005667	UniProt
5935	P82673	MRPS35~P82673	mitochondrial inner membrane	GO:0005743	UniProt
5936	P82673	MRPS35~P82673	mitochondrial small ribosomal subunit	GO:0005763	UniProt
5937	P82933	MRPS9~P82933	mitochondrial inner membrane	GO:0005743	UniProt
5938	P82933	MRPS9~P82933	mitochondrial small ribosomal subunit	GO:0005763	UniProt
5939	P82933	MRPS9~P82933	mitochondrion	GO:0005739	UniProt
5940	P82933	MRPS9~P82933	nucleolus	GO:0005730	UniProt
5941	P83111	LACTB~P83111	cytosol	GO:0005829	UniProt
5942	P83111	LACTB~P83111	mitochondrion	GO:0005739	UniProt
5943	P84103	SRSF3~P84103	cytoplasm	GO:0005737	UniProt
5944	P84103	SRSF3~P84103	nuclear speck	GO:0016607	UniProt
5945	P84103	SRSF3~P84103	nucleoplasm	GO:0005654	UniProt
5946	Q00059	TFAM~Q00059	cytosol	GO:0005829	UniProt
5947	Q00059	TFAM~Q00059	mitochondrial matrix	GO:0005759	UniProt
5948	Q00059	TFAM~Q00059	mitochondrial nucleoid	GO:0042645	UniProt
5949	Q00059	TFAM~Q00059	mitochondrion	GO:0005739	UniProt
5950	Q00059	TFAM~Q00059	nucleus	GO:0005634	UniProt
5951	Q00059	TFAM~Q00059	protein-containing complex	GO:0032991	UniProt
5952	Q00266	MAT1A~Q00266	cytosol	GO:0005829	UniProt
5953	Q00266	MAT1A~Q00266	methionine adenosyltransferase complex	GO:0048269	UniProt
5954	Q00534	CDK6~Q00534	centrosome	GO:0005813	UniProt
5955	Q00534	CDK6~Q00534	cyclin D2-CDK6 complex	GO:0097132	UniProt
5956	Q00534	CDK6~Q00534	cyclin-dependent protein kinase holoenzyme complex	GO:0000307	UniProt
5957	Q00534	CDK6~Q00534	cytoplasm	GO:0005737	UniProt
5958	Q00534	CDK6~Q00534	cytosol	GO:0005829	UniProt
5959	Q00534	CDK6~Q00534	nucleoplasm	GO:0005654	UniProt
5960	Q00534	CDK6~Q00534	nucleus	GO:0005634	UniProt
5961	Q00534	CDK6~Q00534	ruffle	GO:0001726	UniProt
5962	Q00577	PURA~Q00577	chromosome, telomeric region	GO:0000781	UniProt
5963	Q00577	PURA~Q00577	dendrite cytoplasm	GO:0032839	UniProt
5964	Q00577	PURA~Q00577	glutamatergic synapse	GO:0098978	UniProt
5965	Q00577	PURA~Q00577	neuronal cell body	GO:0043025	UniProt
5966	Q00577	PURA~Q00577	nucleus	GO:0005634	UniProt
5967	Q00577	PURA~Q00577	postsynapse	GO:0098794	UniProt
5968	Q00796	SORD~Q00796	cytosol	GO:0005829	UniProt
5969	Q00796	SORD~Q00796	extracellular exosome	GO:0070062	UniProt
5970	Q00796	SORD~Q00796	extracellular space	GO:0005615	UniProt
5971	Q00796	SORD~Q00796	membrane	GO:0016020	UniProt
5972	Q00796	SORD~Q00796	mitochondrial membrane	GO:0031966	UniProt
5973	Q00796	SORD~Q00796	motile cilium	GO:0031514	UniProt
5974	Q00839	HNRNPU~Q00839	catalytic step 2 spliceosome	GO:0071013	UniProt
5975	Q00839	HNRNPU~Q00839	cell surface	GO:0009986	UniProt
5976	Q00839	HNRNPU~Q00839	centrosome	GO:0005813	UniProt
5977	Q00839	HNRNPU~Q00839	CRD-mediated mRNA stability complex	GO:0070937	UniProt
5978	Q00839	HNRNPU~Q00839	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
5979	Q00839	HNRNPU~Q00839	cytosol	GO:0005829	UniProt
5980	Q00839	HNRNPU~Q00839	dendrite cytoplasm	GO:0032839	UniProt
5981	Q00839	HNRNPU~Q00839	inactive sex chromosome	GO:0098577	UniProt
5982	Q00839	HNRNPU~Q00839	kinetochore	GO:0000776	UniProt
5983	Q00839	HNRNPU~Q00839	membrane	GO:0016020	UniProt
5984	Q00839	HNRNPU~Q00839	midbody	GO:0030496	UniProt
5985	Q00839	HNRNPU~Q00839	mitotic spindle	GO:0072686	UniProt
5986	Q00839	HNRNPU~Q00839	mitotic spindle microtubule	GO:1990498	UniProt
5987	Q00839	HNRNPU~Q00839	mitotic spindle midzone	GO:1990023	UniProt
5988	Q00839	HNRNPU~Q00839	nuclear chromosome	GO:0000228	UniProt
5989	Q00839	HNRNPU~Q00839	nuclear matrix	GO:0016363	UniProt
5990	Q00839	HNRNPU~Q00839	nuclear speck	GO:0016607	UniProt
5991	Q00839	HNRNPU~Q00839	nucleoplasm	GO:0005654	UniProt
5992	Q00839	HNRNPU~Q00839	nucleus	GO:0005634	UniProt
5993	Q00839	HNRNPU~Q00839	protein-containing complex	GO:0032991	UniProt
5994	Q00839	HNRNPU~Q00839	ribonucleoprotein complex	GO:1990904	UniProt
5995	Q00839	HNRNPU~Q00839	spindle pole	GO:0000922	UniProt
5996	Q00839	HNRNPU~Q00839	telomerase holoenzyme complex	GO:0005697	UniProt
5997	Q01082	SPTBN1~Q01082	axolemma	GO:0030673	UniProt
5998	Q01082	SPTBN1~Q01082	cell junction	GO:0030054	UniProt
5999	Q01082	SPTBN1~Q01082	cell projection	GO:0042995	UniProt
6000	Q01082	SPTBN1~Q01082	cortical actin cytoskeleton	GO:0030864	UniProt
6001	Q01082	SPTBN1~Q01082	cuticular plate	GO:0032437	UniProt
6002	Q01082	SPTBN1~Q01082	cytoplasm	GO:0005737	UniProt
6003	Q01082	SPTBN1~Q01082	cytosol	GO:0005829	UniProt
6004	Q01082	SPTBN1~Q01082	extracellular exosome	GO:0070062	UniProt
6005	Q01082	SPTBN1~Q01082	glutamatergic synapse	GO:0098978	UniProt
6006	Q01082	SPTBN1~Q01082	M band	GO:0031430	UniProt
6007	Q01082	SPTBN1~Q01082	nucleolus	GO:0005730	UniProt
6008	Q01082	SPTBN1~Q01082	plasma membrane	GO:0005886	UniProt
6009	Q01082	SPTBN1~Q01082	postsynaptic density	GO:0014069	UniProt
6010	Q01082	SPTBN1~Q01082	spectrin	GO:0008091	UniProt
6011	Q01082	SPTBN1~Q01082	spectrin-associated cytoskeleton	GO:0014731	UniProt
6012	Q01415	GALK2~Q01415	cytosol	GO:0005829	UniProt
6013	Q01581	HMGCS1~Q01581	cytoplasm	GO:0005737	UniProt
6014	Q01581	HMGCS1~Q01581	cytosol	GO:0005829	UniProt
6015	Q01650	SLC7A5~Q01650	amino acid transport complex	GO:1990184	UniProt
6016	Q01650	SLC7A5~Q01650	apical plasma membrane	GO:0016324	UniProt
6017	Q01650	SLC7A5~Q01650	basal plasma membrane	GO:0009925	UniProt
6018	Q01650	SLC7A5~Q01650	basolateral plasma membrane	GO:0016323	UniProt
6019	Q01650	SLC7A5~Q01650	cytosol	GO:0005829	UniProt
6020	Q01650	SLC7A5~Q01650	external side of apical plasma membrane	GO:0098591	UniProt
6021	Q01650	SLC7A5~Q01650	extracellular exosome	GO:0070062	UniProt
6022	Q01650	SLC7A5~Q01650	intracellular membrane-bounded organelle	GO:0043231	UniProt
6023	Q01650	SLC7A5~Q01650	lysosomal membrane	GO:0005765	UniProt
6024	Q01650	SLC7A5~Q01650	membrane	GO:0016020	UniProt
6025	Q01650	SLC7A5~Q01650	microvillus membrane	GO:0031528	UniProt
6026	Q01650	SLC7A5~Q01650	plasma membrane	GO:0005886	UniProt
6027	Q01740	FMO1~Q01740	endoplasmic reticulum lumen	GO:0005788	UniProt
6028	Q01740	FMO1~Q01740	endoplasmic reticulum membrane	GO:0005789	UniProt
6029	Q02218	OGDH~Q02218	mitochondrial matrix	GO:0005759	UniProt
6030	Q02218	OGDH~Q02218	mitochondrial membrane	GO:0031966	UniProt
6031	Q02218	OGDH~Q02218	mitochondrion	GO:0005739	UniProt
6032	Q02218	OGDH~Q02218	nucleus	GO:0005634	UniProt
6033	Q02218	OGDH~Q02218	oxoglutarate dehydrogenase complex	GO:0045252	UniProt
6034	Q02252	ALDH6A1~Q02252	mitochondrial matrix	GO:0005759	UniProt
6035	Q02252	ALDH6A1~Q02252	mitochondrion	GO:0005739	UniProt
6036	Q02252	ALDH6A1~Q02252	nucleoplasm	GO:0005654	UniProt
6037	Q02318	CYP27A1~Q02318	mitochondrial inner membrane	GO:0005743	UniProt
6038	Q02318	CYP27A1~Q02318	mitochondrial matrix	GO:0005759	UniProt
6039	Q02318	CYP27A1~Q02318	mitochondrion	GO:0005739	UniProt
6040	Q02338	BDH1~Q02338	intracellular membrane-bounded organelle	GO:0043231	UniProt
6041	Q02338	BDH1~Q02338	matrix side of mitochondrial inner membrane	GO:0099617	UniProt
6042	Q02338	BDH1~Q02338	mitochondrial matrix	GO:0005759	UniProt
6043	Q02338	BDH1~Q02338	mitochondrion	GO:0005739	UniProt
6044	Q02790	FKBP4~Q02790	axonal growth cone	GO:0044295	UniProt
6045	Q02790	FKBP4~Q02790	cytoplasm	GO:0005737	UniProt
6046	Q02790	FKBP4~Q02790	cytosol	GO:0005829	UniProt
6047	Q02790	FKBP4~Q02790	extracellular exosome	GO:0070062	UniProt
6048	Q02790	FKBP4~Q02790	microtubule	GO:0005874	UniProt
6049	Q02790	FKBP4~Q02790	mitochondrion	GO:0005739	UniProt
6050	Q02790	FKBP4~Q02790	neuronal cell body	GO:0043025	UniProt
6051	Q02790	FKBP4~Q02790	nucleoplasm	GO:0005654	UniProt
6052	Q02790	FKBP4~Q02790	perinuclear region of cytoplasm	GO:0048471	UniProt
6053	Q02790	FKBP4~Q02790	protein-containing complex	GO:0032991	UniProt
6054	Q02878	RPL6~Q02878	cytoplasm	GO:0005737	UniProt
6055	Q02878	RPL6~Q02878	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
6056	Q02878	RPL6~Q02878	cytosol	GO:0005829	UniProt
6057	Q02878	RPL6~Q02878	cytosolic large ribosomal subunit	GO:0022625	UniProt
6058	Q02878	RPL6~Q02878	cytosolic ribosome	GO:0022626	UniProt
6059	Q02878	RPL6~Q02878	focal adhesion	GO:0005925	UniProt
6060	Q02878	RPL6~Q02878	membrane	GO:0016020	UniProt
6061	Q02878	RPL6~Q02878	nucleus	GO:0005634	UniProt
6062	Q02878	RPL6~Q02878	postsynaptic density	GO:0014069	UniProt
6063	Q02878	RPL6~Q02878	rough endoplasmic reticulum	GO:0005791	UniProt
6064	Q02928	CYP4A11~Q02928	apical plasma membrane	GO:0016324	UniProt
6065	Q02928	CYP4A11~Q02928	cytoplasm	GO:0005737	UniProt
